state[0],state[1],state[2],action[0],action[1]
0,-0.2,1.57,0.5906731,-0.17981723
2.35E-06,-0.197046635,1.566420901,0.5914739,-0.12550884
1.53E-05,-0.194089294,1.563933318,0.59196293,-0.07195165
3.56E-05,-0.191129549,1.562511106,0.5911336,-0.028024578
6.01E-05,-0.188173983,1.561958753,0.5889269,0.014368204
8.61E-05,-0.185229463,1.562240833,0.5789679,0.06115935
0.000110882,-0.18233473,1.563422617,0.5689715,0.10687916
0.000131859,-0.179489949,1.565457411,0.55895174,0.15146089
0.00014678,-0.176695231,1.568301167,0.5487631,0.19264269
0.000153626,-0.173951424,1.571869255,0.5386017,0.2301496
0.000150737,-0.171258417,1.576075755,0.5303423,0.25639296
0.000136738,-0.168606742,1.580710291,0.52172554,0.2780299
0.000110876,-0.165998243,1.585674032,0.51221234,0.2801778
7.28E-05,-0.163437465,1.590586948,0.5104031,0.25067133
2.23E-05,-0.160885949,1.59494336,0.5127171,0.21571778
-3.96E-05,-0.158323111,1.598688371,0.5200408,0.16144337
-0.00011214,-0.155723918,1.601511513,0.5308952,0.09335095
-0.00019366,-0.153070694,1.603168314,0.5414877,0.03205908
-0.00028129,-0.150364674,1.603747165,0.5509472,-0.018158516
-0.000372045,-0.147611433,1.603413649,0.5593322,-0.058424983
-0.000463248,-0.14481626,1.602323109,0.5645858,-0.082045026
-0.000552231,-0.141994734,1.600775587,0.5671099,-0.09156149
-0.000637226,-0.139160459,1.599039886,0.5659405,-0.071251385
-0.000717136,-0.136331885,1.597693472,0.5640092,-0.096563116
-0.000792978,-0.133512859,1.595872392,0.5602491,-0.14386407
-0.000863215,-0.130712494,1.593167045,0.55646765,-0.18743174
-0.000925453,-0.127930852,1.589649096,0.551629,-0.2393822
-0.000977449,-0.125173197,1.585161373,0.54552037,-0.25903857
-0.001016629,-0.122445877,1.580342749,0.5378926,-0.2616411
-0.001042304,-0.119756536,1.575541528,0.53068084,-0.24454717
-0.001054895,-0.117103162,1.571127297,0.524038,-0.23445986
-0.001055762,-0.114482972,1.566955034,0.51518214,-0.19833374
-0.001045867,-0.11190708,1.563503728,0.507366,-0.1740694
-0.001027367,-0.109370318,1.560529733,0.50208354,-0.16187629
-0.001001594,-0.106860032,1.557796638,0.49611092,-0.14085463
-0.000969349,-0.104379687,1.555451793,0.49257016,-0.12996908
-0.000931559,-0.101917126,1.553305732,0.49032062,-0.11983962
-0.000888681,-0.099465898,1.55133764,0.4883528,-0.11483486
-0.00084117,-0.097024597,1.549460049,0.48640704,-0.11042087
-0.000789284,-0.094593115,1.547662421,0.4847857,-0.098275915
-0.000733214,-0.092169835,1.546069196,0.48260838,-0.06995125
-0.000673552,-0.089757531,1.544942055,0.48058525,-0.04644394
-0.000611433,-0.087355408,1.544197511,0.48141152,-0.039515108
-0.000547416,-0.084949201,1.54356308,0.48132396,-0.05308802
-0.000481884,-0.082543474,1.542710527,0.48108187,-0.06646085
-0.000414335,-0.080139013,1.541643185,0.4807963,-0.077587776
-0.000344261,-0.077736053,1.54039722,0.48047125,-0.08674898
-0.000271243,-0.075334807,1.539004378,0.4801103,-0.09419245
-0.000194938,-0.072935469,1.537492478,0.4797166,-0.10013918
-0.00011507,-0.070538216,1.535885824,0.4779412,-0.0900289
-3.17E-05,-0.068149966,1.534447652,0.48078007,-0.084220685
5.57E-05,-0.065747653,1.533094731,0.48597622,-0.055742104
0.000147286,-0.063319499,1.532190817,0.4910555,-0.032532353
0.00024205,-0.060866051,1.531658122,0.49678412,-0.011676755
0.000339242,-0.058384032,1.531464753,0.5034846,0.006465304
0.00043823,-0.055868556,1.53157326,0.5101972,0.022390177
0.000538262,-0.053319532,1.531954104,0.51715946,0.034407664
0.000638675,-0.050735685,1.53254748,0.5208998,0.04833157
0.00073827,-0.048133091,1.533387331,0.52099663,0.06858965
0.000835697,-0.045529931,1.534580368,0.52617806,0.114046864
0.000930956,-0.042900766,1.536589384,0.54433787,0.16687863
0.001024039,-0.040180668,1.539645754,0.5763464,0.23747058
0.001113792,-0.037300335,1.544295668,0.6125034,0.32639945
0.001194941,-0.034238893,1.551206887,0.68808097,0.5011743
0.001262332,-0.030799148,1.563771893,0.7571489,0.63709927
0.001288925,-0.027013497,1.582449363,0.8499664,0.97545964
0.001239402,-0.022763953,1.624279699,0.9136871,1.2367986
